anchor,positive
구매한 전자제품에 제조상 결함이 있는데 판매자가 환불을 거부했다,제품 하자가 중대하고 판매자가 보수하지 않아 계약 해제와 대금 반환이 인정되었다
중고차를 무사고 차량으로 알고 샀지만 큰 사고 수리 기록이 발견되었다,판매자가 거래의 중요한 정보인 사고 이력을 알리지 않아 손해배상 책임이 인정되었다
전세 계약이 끝나 집을 비웠지만 집주인이 새 세입자가 없다는 이유로 보증금을 주지 않는다,임대차 종료와 목적물 반환 후에는 후속 임차인 유무와 관계없이 보증금을 반환해야 한다
위층에서 매일 밤 반복적으로 큰 충격음이 발생한다,공동주택 생활에서 참아야 할 한도를 넘은 반복적인 심야 소음은 불법행위가 될 수 있다
보고 절차를 몇 번 누락했다는 이유만으로 회사에서 해고되었다,징계 사유가 있더라도 잘못의 정도와 해고 사이에 균형이 없으면 부당해고가 될 수 있다
매 분기 고정적으로 받은 상여금이 퇴직금 계산에서 빠졌다,정기적이고 일률적으로 지급된 상여금은 평균임금에 포함될 수 있다
배달 앱의 지시를 따라 이동하다가 교통사고를 당했다,플랫폼의 실질적인 지휘를 받으며 배달하던 중 발생한 사고는 업무상 재해로 인정될 수 있다
회원 정보를 동의 없이 광고 회사에 넘겼다,이용자가 예상하기 어려운 개인정보의 제3자 제공은 별도의 구체적인 동의가 필요하다
소비자 피해를 알리기 위해 사실에 근거한 후기를 인터넷에 게시했다,주요 내용이 진실하고 공익적 목적이 우세한 게시글은 명예훼손의 위법성이 조각될 수 있다
현금을 받아 다른 사람에게 전달하는 고액 아르바이트가 보이스피싱인 줄 몰랐다,비정상적인 현금 전달 방식을 알면서 반복한 경우 사기 범행에 대한 미필적 고의가 인정될 수 있다
다른 판매자가 촬영한 상품 사진을 허락 없이 광고에 사용했다,구도와 조명에 개성이 드러난 사진을 상업적으로 무단 이용하면 저작권 침해가 될 수 있다
기존 의류 브랜드와 발음이 비슷한 이름을 같은 상품에 사용했다,상표의 외관과 호칭 및 거래 실정을 종합해 소비자의 출처 혼동 가능성을 판단한다

